PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType,CPCClassifications,IPCRClassifications,USClassifications
CN103939748A,CN,23/07/2014,2014,18/04/2014,QINGDAO HOUKE CHEMICAL CO LTD,ZHAO HUAZE;;XIE SILIANG;;ZHAO HONGBO,,,Patent Application,,F17D5/02,
CN104565826A,CN,29/04/2015,2015,29/10/2013,PETROCHINA CO LTD,ZHOU YAN;;TAN DONGJIE;;SUN WEI;;MA YUNBIN;;LIU LU;;MENG JIA;;CAI YONGJUN;;QIU HONGHUI;;TIAN XIAOZHONG;;WANG HAIMING,,,Patent Application,,F17D5/00,
CN105371943A,CN,02/03/2016,2016,29/12/2015,CHENGDU RUILAIJIESEN TECH CO LTD,ZHANG LIXUN;;CHEN YULIN,,,Patent Application,G01H9/004,G01H9/00,
CN107795855A,CN,13/03/2018,2018,28/09/2017,WUXI HAOYU ENERGY SAVING ENVIRONMENTAL PROT EQUIPMENT CO LTD,HU XIAORONG;;YU JUAN;;HU YU,,,Patent Application,F17D5/06;;F17D5/005,F17D5/06;;F17D5/00,
CN111998933A,CN,27/11/2020,2020,10/08/2020,UNIV WUHAN TECH,TANG JIANGUAN;;LYU WANHUA;;DENG YANFANG;;GUO HUIYONG;;FAN DIAN;;GAN WEIBING;;YANG MINGHONG,,,Patent Application,G01H9/004;;H03K3/64,G01H9/00;;H03K3/64,
CN104535281A,CN,22/04/2015,2015,15/01/2015,UNIV CHINA PETROLEUM,LIU CUIWEI;;LI YUXING;;LI XUEJIE;;LIU GUANGXIAO;;QIAN HAOCHENG;;WANG WUCHANG,,,Patent Application,,G01M3/28,
CN103968257A,CN,06/08/2014,2014,26/05/2014,QINGDAO HOC CHEMISTRY CO LTD,XIE SILIANG;;CAO HUIZI;;ZHAO HONGBO,,,Patent Application,,F17D5/02,
CN105675080A,CN,15/06/2016,2016,14/04/2016,CHANGAN YIYANG POWER GENERATION CO LTD,BING YULIANG;;YI HONGDONG;;JIANG ZHONG,,,Patent Application,G01F23/02,G01F23/02,
CN109540207A,CN,29/03/2019,2019,27/11/2018,UNIV DALIAN TECH,ZHOU DAPENG;;PENG WEI,,,Patent Application,G01D5/35358;;G01D5/35364;;G01D21/02;;G01D5/35364;;G01K11/32;;G01K11/32;;G01K11/322;;G01K11/322;;G01K11/324;;G01K11/324;;G01K17/10;;G01L1/242;;G01L1/242,G01D21/02,
CN101894438A,CN,24/11/2010,2010,20/05/2009,SHANGHAI BOOM FIBER SENSING TE,YUFEI CHEN;;ZHENGXIAN ZHOU;;WEI GAO;;GANG XI;;FANGXUAN TONG,,,Patent Application,,G08B13/00;;G01D5/353;;G01L1/24;;G08B13/18,
CN107850483A,CN,27/03/2018,2018,03/06/2016,FUTURE FIBRE TECH PTY LTD,RAJEEV PATHMANATHAN;;MAHMOUD SEEDAHMED S;;KOZIOL BERNHARD G;;DAVIS FREDERICK;;SANJAYAN JAY G;;JEGATHEESAN PIRATHEEPAN,,,Patent Application,G01H9/004;;G01V1/226;;G01V1/226;;G01H1/00;;G01H9/004;;G01H9/004;;G01V1/18;;G02B6/504;;G02B6/504;;G02B6/504,G01H9/00;;G01H1/00;;G01V1/18;;G02B6/50,
CN111123272A,CN,08/05/2020,2020,31/10/2018,WUXI CHISON MEDICAL TECH CO LTD,WANG HONG;;MO RUOLI,,,Patent Application,G01S15/89,G01S15/89,
CN103644460A,CN,19/03/2014,2014,09/10/2013,UNIV CHINA PETROLEUM,MENG LINGYA;;LIU CUIWEI;;LIU GUANGXIAO;;WANG WUCHANG;;LI YUXING;;FANG LIPING;;LIU CHAO;;QIAN HAOCHENG;;CAO PENGFEI,,,Patent Application,,F17D5/06;;F17D1/02;;G06F19/00,
CN109344784A,CN,15/02/2019,2019,12/10/2018,YELLOW RIVER INSTITUTE OF HYDRAULIC RES,ZHANG NAN;;LI SHU;;GUO XINWEI;;JIANG HONG;;ZHANG PAN;;YIN HUIJUAN;;WU KAI;;LI LINGQI;;HAN JINXU;;SUN WEIYING,,,Patent Application,G06K9/00516;;G06K9/0057,G06K9/00,
CN112036301A,CN,04/12/2020,2020,31/08/2020,UNIV CHINA MINING,YU XIAO;;LIU SHIYUAN;;REN XIAOHONG;;DONG FEI;;CHEN WEI,,,Patent Application,G06K9/00536;;G01H17/00;;G06K9/00523;;G06K9/6232;;G06K9/6256;;G06K9/6269;;G06K9/6282;;G06K9/6292,G06K9/00;;G01H17/00;;G06K9/62,
CN106845437A,CN,13/06/2017,2017,13/02/2017,UNIV CHANGZHOU,WANG XINYING;;SONG XINGSHUAI;;CHEN HAIQUN,,,Patent Application,G06K9/00516;;G06K9/6269;;G06Q50/06,G06K9/00;;G06K9/62;;G06Q50/06,
CN105844051A,CN,10/08/2016,2016,12/04/2016,SHANGHAI ADVANCED RES INST CAS,WU BO;;MAO JIA;;MA NA;;LU FANGLIN;;HE FENGXING;;CUI WEN;;YU JIANFENG,,,Patent Application,G06F30/367;;G06F2113/14,G06F17/50,
CN112483910A,CN,12/03/2021,2021,04/12/2020,UNIV CHANGZHOU,LYU XIAOFANG;;XU JIAWEN;;ZHANG JIE;;LIU YANG;;ZHOU SHIDONG;;RAO YONGCHAO;;DONG LIANG;;LI ENTIAN,,,Patent Application,F17D5/06,F17D5/06,
CN110792928A,CN,14/02/2020,2020,24/09/2019,CHINA PETROLEUM & CHEM CORP;;SINOPEC PIPELINE STORAGE & TRANSP CO LTD;;HUNAN TULING TECH CO LTD,ZHANG HUIMIN;;LI YAPING;;PENG YUNCHAO;;CAO DANFU;;SHU LILI;;CHEN PENG;;TANG YANGHAO;;LIU TING;;MENG FANXING;;ZHANG YU;;SUN TIANZE;;YUAN SHEMEI;;WANG AIJU;;CHEN YUHAN;;LIU PENG;;HUANG GANG;;ZHUANG JUN;;SHI YAOHUA;;ZHOU JINGLIN;;TIAN XINTAO,,,Patent Application,F17D5/06;;G06K9/6269;;G06N3/02,F17D5/06;;G06K9/62;;G06N3/02,
CN107504374A,CN,22/12/2017,2017,20/10/2017,BEIJING KECHUANG SANSI SCIENCE & TECH DEVELOPMENT CO LTD,WANG LIANGFENG;;YANG XIAOFENG;;JI JINGWEN;;XIN YAN;;JI XIAO,,,Patent Application,F17D5/06;;F17D5/005,F17D5/06,
CN110145695A,CN,20/08/2019,2019,03/06/2019,UNIV DALIAN TECH;;CERNET CO LTD,LI QI;;DU XIAODONG;;LI MENG;;XIE MENGQI,,,Patent Application,F17D5/02,F17D5/02,
CN106017837A,CN,12/10/2016,2016,30/06/2016,BEIJING INST SPACECRAFT SYSTEM ENGINEERING,WANG GUANGYUAN;;HAO GANGGANG;;TIAN JINGFENG;;ZHOU DONGQIANG;;GUAN SHUAI;;YANG DONG,,,Patent Application,G01M7/02;;G01H17/00,G01M7/02;;G01H17/00,
CN107590516A,CN,16/01/2018,2018,16/09/2017,UNIV ELECTRONIC SCI & TECH CHINA,WU HUIJUAN;;CHENG LIN;;LIU XIANGRONG;;RAO YUNJIANG,,,Patent Application,,G06K9/62;;F17D5/00;;F17D5/02;;G06Q50/06,
CN102968109A,CN,13/03/2013,2013,03/12/2012,UNIV SOUTHWEST,PAN DONGBO;;LIU FENG,,,Patent Application,Y02P90/02,G05B19/418,
CN109643477A,CN,16/04/2019,2019,08/08/2017,INTENDIME SRLS,FARRIS ALESSANDRA;;AMBU GIORGIA;;PINESE ANTONIO;;BUFFETTI LEONARDO;;ARCIULO RICCARDO,,,Patent Application,G08B1/08;;G08B1/08;;H04R3/00;;H04R3/00;;H04R2201/023;;H04R2201/023;;H04R2410/00;;H04R2410/00;;H04R2499/11;;H04R2499/11,G08B1/08,
CN105910803A,CN,31/08/2016,2016,15/04/2016,UNIV NORTH CHINA,PAN HONGXIA;;PAN MINGZHI;;MA CHUNMAO;;LI ZHONGXIAN;;TIAN YUAN;;BI JINGWEI,,,Patent Application,G01M13/00,G01M13/00,
CN101968162A,CN,09/02/2011,2011,30/09/2010,UNIV NORTHEASTERN,HUAGUANG ZHANG;;JIAN FENG;;JINHAI LIU;;XIN HE;;JIANQIANG LIU;;DAZHONG MA;;ZHENWEI LIU;;XINGANG ZHANG,,,Patent Application,,F17D5/06,
CN106352243A,CN,25/01/2017,2017,20/10/2016,UNIV SHANDONG SCIENCE & TECH,HAN BAOKUN;;YAN CHENGWEN;;BAO HUAIQIAN;;WANG CHANGTIAN;;YANG KAIDI,,,Patent Application,F17D5/005;;F17D5/06,F17D5/00;;F17D5/06,
CN104132250A,CN,05/11/2014,2014,14/07/2014,UNIV SHANGHAI,ZHANG XIANGFEN;;LIU XIAOYUN;;XU XIAOZHONG;;MA YAN,,,Patent Application,,F17D5/06,
CN104897215A,CN,09/09/2015,2015,03/07/2015,NANTONG SHENGHONG YITING NETWORK TECHNOLOGY CO LTD,LUO YU;;LIU JIANWEI;;SHI JIAN,,,Patent Application,,G01D21/02,
CN108397692A,CN,14/08/2018,2018,29/01/2018,HEFEI INST PUBLIC SAFETY RES TSINGHUA UNIV;;ANHUI SMART SAFETY TECH CO LTD,LI YUNFEI;;ZHOU YANG;;ZHANG FEI;;CAO CUNZHI;;HUANG LI;;LIU MING,,,Patent Application,F17D5/06;;G06F17/14,F17D5/06;;G06F17/14,
CN102242872A,CN,16/11/2011,2011,22/06/2011,UNIV NORTHEASTERN,JIAN FENG;;JINHAI LIU;;HUAGUANG ZHANG;;DAZHONG MA;;XIANGXIANG WEI;;JIAN LI,,,Patent Application,,F17D5/06,
CN113740667A,CN,03/12/2021,2021,30/08/2021,UNIV NORTH CHINA ELECTRIC POWER,ZHANG XU;;ZHENG YUCHUAN;;GUO ZIXING;;LIU BOWEN;;DING RUITING;;WANG YI,,,Patent Application,G01R31/088;;G01R31/086,G01R31/08,
CN106018561A,CN,12/10/2016,2016,13/05/2016,UNIV CHINA PETROLEUM,LI YUXING;;ZHANG YUGAN;;LIU CUIWEI;;HU QIHUI;;WANG WUCHANG;;ZHU JIANLU;;HAN HUI;;QIAN HAOCHENG;;JI JIAN;;LIANG JIE,,,Patent Application,G01N29/11;;G01M3/243;;G01N2291/015;;G01N2291/023,G01N29/11;;G01M3/24,
CN105840987A,CN,10/08/2016,2016,25/04/2016,BEIJING HONGXIN HUANKE TECH DEV CO LTD,XU SHENGJIN;;GONG HAIQING;;HU ZHANWEI,,,Patent Application,F17D5/02;;F17D5/06,F17D5/02;;F17D5/06,
CN109373203A,CN,22/02/2019,2019,22/11/2018,LEZHI HAITIAN WATER BUSINESS CO LTD,PENG YUMEI;;CHEN TINGTING;;WANG RUI;;LIANG GUANG;;TAN HAIRONG;;ZHONG MING;;WANG WENQIANG;;MOU JING;;CHEN DIANJUN,,,Patent Application,F17D5/06;;G01N29/04;;G01N2291/042,F17D5/06;;G01N29/04,
CN110046651A,CN,23/07/2019,2019,15/03/2019,UNIV XI AN JIAOTONG,JIANG HONGQUAN;;GAO JIANMIN;;XIA FENGSHE;;GAO ZHIYONG;;WANG RONGXI;;ZHOU TAO;;LIU DONGCHENG,,,Patent Application,G06K9/6288;;G06K2009/6294,G06K9/62,
CN102537670A,CN,04/07/2012,2012,05/03/2012,UNIV BEIJING CHEMICAL,WEIGUO LIN;;JINGKUN JIA,,,Patent Application,,F17D5/06,
CN108443714A,CN,24/08/2018,2018,09/04/2018,LASER RES INST SHANDONG ACADEMY SCIENCES,HOU MOYU;;WANG JIQIANG;;ZHAO LIN;;LI ZHEN;;WANG JINYU;;LIU YUAN;;DONG GUOFENG;;LIU TONGYU,,,Patent Application,F17D5/02,F17D5/02,
CN105546352A,CN,04/05/2016,2016,21/12/2015,UNIV CHONGQING SCI & TECH,LI JIE;;CHEN GUORONG;;WU HAN;;FENG LIXIAO;;LI ZHONG;;CHEN MENGLIANG;;GAO ZHENG,,,Patent Application,F17D5/005;;F17D5/02;;F17D5/06,F17D5/00;;F17D5/02;;F17D5/06,
CN110319982A,CN,11/10/2019,2019,03/06/2019,HEFEI INST PUBLIC SAFETY RES TSINGHUA UNIV;;HEFEI CITY LIFELINE ENG SAFETY OPERATION MONITORING CENTER;;HEFEI ZEZHONG CITY INTELLIGENT TECH CO LTD,TAN QIONG;;YUAN HONGYONG;;LI ZIHAO;;FU MING;;LI SHULIN;;LIU HEZI;;SU GUOFENG;;WANG PENG;;HOU LONGFEI;;ZHU YOUPING,,,Patent Application,G01M3/04;;G01N33/225;;G06N20/00,G01M3/04;;G01N33/22;;G06N20/00,
CN102120158A,CN,13/07/2011,2011,19/11/2010,SUZHOU BONA CHEMICAL TECHNOLOGY CO LTD,WEIGE LI;;CHUNFU ZHANG,,,Patent Application,,C09K23/00;;B01D19/04,
CN102120106A,CN,13/07/2011,2011,19/11/2010,SUZHOU BONA CHEMICAL TECHNOLOGY CO LTD,WEIGE LI;;CHUNFU ZHANG,,,Patent Application,,B01D19/04,
CN107130432A,CN,05/09/2017,2017,26/06/2017,WANG MENG,WANG MENG,,,Patent Application,D06M15/53;;D06M11/13;;D06M13/02;;D06M13/2246;;D06M13/262;;D06M15/643,D06M15/53;;D06M11/13;;D06M13/02;;D06M13/224;;D06M13/262;;D06M15/643,
CN102120107A,CN,13/07/2011,2011,19/11/2010,SUZHOU BONA CHEMICAL TECHNOLOGY CO LTD,WEIGE LI;;CHUNFU ZHANG,,,Patent Application,,B01D19/04,
CN105251245A,CN,20/01/2016,2016,30/10/2015,YUNNAN PHOSPHATE CHEM GROUP,LI YAOJI;;HE BINBIN;;FANG SHIXIANG;;LU WEICAI;;ZHANG HUI;;OU ZHIBING;;YANG WENQUAN;;PENG HUA;;ZHOU QIONGBO;;WANG CANXIA;;ZHANG HUA,,,Patent Application,,B01D19/02;;C01B25/46,
CN103550959A,CN,05/02/2014,2014,26/10/2013,UNIV GUILIN TECH GUT,GUO DONG;;XU XU;;HUANG CHAO,,,Patent Application,,B01D19/04,
CN101881696A,CN,10/11/2010,2010,03/06/2010,UNIV XI AN JIAOTONG,HAIPENG GENG;;BAISONG YANG;;WENBO DUAN;;SHEMIAO QI;;LIE YU;;YANHUA SUN,,,Patent Application,,G01M13/04,
CN105388013A,CN,09/03/2016,2016,04/12/2015,JINCHENG NANJING ELECTROMECHANICAL HYDRAULIC PRESSURE ENG RES CT AVIAT IND CORP CHINA,HAO DINGWU;;LIU YIN;;XIAO ZHIFENG;;XIANG YONG,,,Patent Application,,G01M13/04;;G01N3/08,
CN103884504A,CN,25/06/2014,2014,10/03/2014,UNIV XI AN JIAOTONG,SUN YANHUA;;DUAN WENBO;;GENG HAIPENG;;QI SHEMIAO;;YU LIE,,,Patent Application,,G01M13/04,
CN110657973A,CN,07/01/2020,2020,29/09/2019,CHINA HELICOPTER RES & DEVELOPMENT INST,SONG YUN;;SUN YUNWEI;;XU YULIANG,,,Patent Application,B64F5/60;;G01M13/00,G01M13/00;;B64F5/60,
CN110608673A,CN,24/12/2019,2019,21/05/2019,UNIV XI AN JIAOTONG,ZHU YONGSHENG;;YUAN QIANQIAN;;YAN KE;;KANG WEI;;HONG JUN,,,Patent Application,G01B11/02;;G01P3/486,G01B11/02;;G01P3/486,
CN108709747A,CN,26/10/2018,2018,15/06/2018,HARBIN INST TECHNOLOGY,ZHANG CHUANWEI;;GU LE;;XIE ZHIJIE;;WANG LIQIN;;SUN TAO;;LI DONGSHENG;;ZHAO JINGZE,,,Patent Application,G01M13/04,G01M13/04,
CN104748966A,CN,01/07/2015,2015,21/04/2015,WU LIANKAI,WU LIANKAI,,,Patent Application,,G01M13/04,
CN101975656A,CN,16/02/2011,2011,06/09/2010,UNIV XI AN JIAOTONG,SHEMIAO QI;;MIAOYU GU;;HUAN WANG;;HAIPENG GENG;;YANHUA SUN;;LIE YU,,,Patent Application,,G01M13/00;;G01B7/02,
CN101865772A,CN,20/10/2010,2010,03/06/2010,UNIV XI AN JIAOTONG,WENBO DUAN;;HAIPENG GENG;;SHEMIAO QI;;YANHUA SUN;;BAISONG YANG;;LIE YU,,,Patent Application,,G01M13/04,
CN103149339A,CN,12/06/2013,2013,29/01/2013,INST OF MECHANICS CAS,ZHAO YING;;LI SHIHAI;;LIU XIAOYU;;WEI ZUOAN;;XU LIKAI;;MENG DA;;FAN YONGBO;;LV XIANGFENG,,,Patent Application,,G01N33/24,
CN113041652A,CN,29/06/2021,2021,17/03/2021,CHINA NAT OFFSHORE OIL CORP;;CNOOC RES INST CO LTD,MA CHENBO;;LIU XIANGDONG;;HUANG ZHE;;LIU RENWEI;;JING YUXIAO;;ZHOU XUEJUN,,,Patent Application,B01D17/02;;F17D1/005;;F17D1/02;;F17D1/08;;F17D3/01,B01D17/02;;F17D1/00;;F17D1/02;;F17D1/08;;F17D3/01,
CN106352246A,CN,25/01/2017,2017,09/11/2016,UNIV NANJING TECH,JIANG JUNCHENG;;DIAO XU;;CHEN QIANG;;SHEN GUODONG;;NI LEI;;ZOU MENGYA;;FU GANG,,,Patent Application,F17D5/02;;F17D5/06,F17D5/02;;F17D5/06,
CN105090756A,CN,25/11/2015,2015,17/09/2015,CHENGDU QIANYI INFORMATION TECHNOLOGY CO LTD,MO SHANGYI,,,Patent Application,,F17D5/02,
CN103761997A,CN,30/04/2014,2014,15/01/2014,CHINA NUCLEAR POWER ENG CO LTD,TAN GUANGPING;;YU YONG;;XIN TIANMIN;;LIU WENHUA;;WANG LE,,,Patent Application,Y02E30/30,G21C17/017,
CN103366039A,CN,23/10/2013,2013,28/03/2013,IBM,SHIR OFER;;WASSERKRUG SEGEV;;SHILOACH YOSSI;;ISRAELI EITAN;;WEISMAN RAN,,,Patent Application,F17D5/02;;F17D5/02;;G06F30/13;;G06F30/13;;G06F2113/14;;G06F2113/14,G06F17/50,
CN105181271A,CN,23/12/2015,2015,14/07/2015,PETROCHINA CO LTD,WU JIAYONG;;TAN DONGJIE;;WANG LIKUN;;XU BIN;;WANG HONGCHAO;;CAI YONGJUN;;LI HAINA;;WU QIONG,,,Patent Application,,G01M3/28,
CN105114818A,CN,02/12/2015,2015,17/09/2015,CHENGDU QIANYI INFORMATION TECHNOLOGY CO LTD,MO SHANGYI,,,Patent Application,,F17D5/02,
CN109915734A,CN,21/06/2019,2019,15/04/2019,KUANG MIN,KUANG MIN,,,Patent Application,,F17D5/00;;F17D5/02,
CN104074511A,CN,01/10/2014,2014,16/12/2013,UNIV YANGTZE,ZHU ZHONGXI;;ZHANG YINGJIN,,,Patent Application,,E21B47/107,
CN102184671A,CN,14/09/2011,2011,19/04/2011,INST ENG MECHANICS CHINA EARTHQUAKE ADMINISTRATION;;XUESHAN YANG;;FENG GAO,XUESHAN YANG;;QINGLEI SHI;;XIANLONG HE;;TAO ZHANG;;FENG GAO;;QIAOYU YANG,,,Patent Application,,G09B25/02,
CN102072405A,CN,25/05/2011,2011,02/11/2010,CHINA PETROLEUM & CHEMICAL;;TECHNICAL DETECTION CT OF SINOPEC SHENGLI OILFIELD COMPANY,GUANJUN WANG;;JINGSHU LIU;;LU LIU;;DEDONG LV;;SUIPING WANG;;ZHENHUA SUN;;RENWEI SHI;;YUANYUAN LONG;;WEIGANG YANG;;JIE JI;;CHAO LIU;;YONG YANG;;YUJIANG WANG;;YANGUO LIU;;JIANGUO SU,,,Patent Application,,F17D5/02;;G01M3/02,
CN109958880A,CN,02/07/2019,2019,26/03/2019,SICHUAN LINENG COMBUSTION GAS ENG DESIGN CO LTD,XIA TAIWU;;CHENG HUA;;LI JING;;DAI LIN;;CHEN MO;;HU SHUNYUAN;;ZHANG XUEMEI;;JIANG WEI;;NIE CHONGBIN;;WU JIN;;WU QIYUAN;;LI YANG;;DAI MEI;;CHEN JUN;;TANG LIUYI;;CHENG LINLIN,,,Patent Application,F17D1/02;;F17D5/005;;F17D5/06,F17D1/02;;F17D5/00;;F17D5/06,
CN103424512A,CN,04/12/2013,2013,15/05/2013,HORIBA LTD,MIYAI MASARU;;ITO MANABU;;NISHIKAWA MASAHIRO,,,Patent Application,F04B49/00;;F04B49/00;;F04B51/00;;F04B51/00;;F04B2205/09;;F04B2205/09;;G01N27/407,G01N33/00;;G01M3/28;;G01N1/24,
CN102322570A,CN,18/01/2012,2012,09/10/2011,UNIV JILIANG CHINA,QIHUA YANG;;BO QIAO;;ZHENGSONG HU;;QIANG WANG,,,Patent Application,,F17D5/02;;F17D1/02,
CN103247358A,CN,14/08/2013,2013,16/04/2013,CHINA NUCLEAR POWER ENG CO LTD,ZHANG LEI;;YAN GUIYIN;;XIAO DAIYUN;;ZHANG RUIPING;;SHAO TUO,,,Patent Application,Y02E30/30,G21C17/00,
CN103148346A,CN,12/06/2013,2013,26/03/2013,UNIV BEIJING JIAOTONG,LAN HUIQING;;ZHANG YONGLONG,,,Patent Application,,F17D1/14,
CN109798451A,CN,24/05/2019,2019,16/11/2017,PETROCHINA CO LTD,REN GUISHAN;;XU GUO'AN;;SUN KAI;;CHEN XUEMEI,,,Patent Application,,F17D5/06,
CN105090757A,CN,25/11/2015,2015,17/09/2015,CHENGDU QIANYI INFORMATION TECHNOLOGY CO LTD,MO SHANGYI,,,Patent Application,,F17D5/02,
CN102252168A,CN,23/11/2011,2011,19/07/2011,HUADIAN ENERGY CO LTD,CHUNGUANG BAI,,,Patent Application,,F17D5/02,
CN106567998A,CN,19/04/2017,2017,11/11/2016,UNIV JILIANG CHINA,WANG QIANG;;SONG JUNJUN;;FAN XINWEI;;WU LINLIN,,,Patent Application,F17D5/005;;F17D5/02,F17D5/00;;F17D5/02,
CN107084767A,CN,22/08/2017,2017,21/05/2017,WEI JIANJUN,WEI JIANJUN;;LIU NAI'AN;;SU ZHIXIANG,,,Patent Application,G01F5/00,G01F5/00,
CN102797453A,CN,28/11/2012,2012,14/08/2012,BEIJING KELI AOBO INSTR TECHNOLOGY CO LTD,THE INVENTOR HAS WAIVED THE RIGHT TO BE MENTIONED,,,Patent Application,,E21B47/00;;E21B47/07;;E21B49/08,
CN104912545A,CN,16/09/2015,2015,08/06/2015,HEBEI KUNRUI ENGINEERING TECHNOLOGY CO LTD,WU QIULAI;;ZHAI HONGJUN;;ZHANG YOUYI;;ZHAI YULONG,,,Patent Application,,E21B47/06;;E21B47/07,
CN102808607A,CN,05/12/2012,2012,01/06/2011,CHINA NAT PETROLEUM CORP,SHEN ZEJUN;;TONG ZHENG;;PEI XIAOHAN;;HUANG HONGMEI;;XUE JIANJUN;;QIAN JIE;;WANG XINZHONG;;GAO YANG,,,Patent Application,,E21B47/00;;E21B33/06;;E21B43/00;;E21B47/017;;E21B47/06;;E21B47/07;;E21B47/12,
CN108194074A,CN,22/06/2018,2018,17/02/2012,MERLIN TECHNOLOGY INC,CHAU ALBERT W;;FELDMAN DMITRY;;MEDEIROS BENJAMIN JOHN,,,Patent Application,Y10T29/49002;;E21B47/06;;E21B47/017;;E21B47/01;;E21B47/06;;Y10T29/49002;;E21B47/017;;E21B47/06,E21B47/06;;E21B47/01,
CN104500025A,CN,08/04/2015,2015,22/12/2014,PETROCHINA CO LTD,YANG LINGZHI;;YANG HAIEN;;JU YAFENG;;LUO BILIN;;SHEN XIAOLI;;YU JIUZHENG;;WANG ZIJIAN;;BI FUWEI;;HU MEIYAN,,,Patent Application,E21B44/005;;E21B47/06;;E21B47/07;;E21B47/092;;E21B47/12,E21B44/00;;E21B47/12,
CN102562038A,CN,11/07/2012,2012,10/02/2012,CHINA NAT OFFSHORE OIL CORP;;CHINA OILFIELD SERVICES LTD,ZHIBIN TIAN;;YAOMIN BAI;;MIWU CHEN,,,Patent Application,,E21B47/06;;E21B47/13;;E21B49/00,
CN105089640A,CN,25/11/2015,2015,30/04/2015,PETROCHINA CO LTD,SHE CHAOYI;;PENG YANG;;TANG HUQIONG;;HE YIGUO;;YE CHANGQING;;CHEN JIAXIAO;;CHEN JI;;WEI XING;;WANG XUEQIANG,,,Patent Application,,E21B47/06;;E21B47/07;;E21B47/12;;E21B47/26,
CN102536215A,CN,04/07/2012,2012,31/12/2011,CNPC CHUANQING DRILLING ENG CO,MINGYOU ZHANG;;DONGXIAO PANG;;DENG PAN;;YIBIN LIN;;XINGHUA LIU;;XIN WEN,,,Patent Application,,E21B47/13;;E21B47/06;;E21B47/07,
CN105954063A,CN,21/09/2016,2016,02/06/2016,GUANGZHOU MARINE GEOLOGICAL SURVEY;;OIL & GAS SURVEY CGS;;CHENGDU OUXUN TECH CO LTD;;YIBIN SANJIANG MACHINERY CO LTD,LIU GUANGHU;;CHEN DAOHUA;;ZHU YOUHAI;;XU ZHUHUA;;WU XUANZHI;;BAI MINGGANG;;CHENG SIHAI;;ZHAO HONGYU;;LU CHENG;;LEI ZHISHENG;;LIU JIYONG;;ZHAO HONGYING,,,Patent Application,G01N1/14;;G01N2001/1031;;G01N2001/1418,G01N1/14,
CN102109422A,CN,29/06/2011,2011,17/12/2010,NORTHEAST INST GEO & AGROECOLO,SHUYUAN LIU,,,Patent Application,,G01N1/14,
CN103048175A,CN,17/04/2013,2013,20/12/2012,GUANGZHOU MARINE GEOL SURVEY,CHENG SIHAI;;ZHANG ZHIGANG;;CHEN DAOHUA;;LIU JIAN,,,Patent Application,,G01N1/28;;G01N1/10,
CN105152272A,CN,16/12/2015,2015,09/09/2015,GUANGZHOU MARINE GEOL SURVEY,CHEN DAOHUA;;LIU GUANGHU;;CHENG SIHAI;;ZHAO HONGYU;;WU XUANZHI;;LEI ZHISHENG;;LIU JIYONG,,,Patent Application,,C02F1/44,
CN103321641A,CN,25/09/2013,2013,01/07/2013,BEIJING START TRADE CO LTD,LI GUANGWU,,,Patent Application,,E21C41/16,
CN105372332A,CN,02/03/2016,2016,27/10/2015,UNIV XIANGTAN,LONG SHIGUO;;TANG FENG;;LI GANXIAN,,,Patent Application,G01N29/07;;G01N29/11,G01N29/07;;G01N29/11,
CN105547748A,CN,04/05/2016,2016,16/12/2015,GUANGZHOU MARINE GEOLOGICAL SURVEY;;YIBIN SANJIANG MACHINERY CO LTD,CHENG SIHAI;;ZHAO HONGYU;;ZHAO ZHENGXING;;ZHAO HONGYING;;LEI ZHISHENG;;LIU JIYONG,,,Patent Application,G01N1/10;;G01N2001/1031,G01N1/10,
CN105588730A,CN,18/05/2016,2016,16/12/2015,GUANGZHOU MARINE GEOLOGICAL SURVEY;;YIBIN SANJIANG MACHINERY CO LTD,CHENG SIHAI;;LEI ZHISHENG;;LIU JIYONG;;ZHAO HONGYU;;ZHAO ZHENGXING;;ZHAO HONGYING,,,Patent Application,G01N1/10,G01N1/10,
CN103091147A,CN,08/05/2013,2013,28/10/2011,INST OCEANOLOGY CHINESE ACAD,DONG YI;;XIAO TIAN;;WU JUN;;YUE DONGHAI,,,Patent Application,,G01N1/34;;B01D29/58,
CN102182414A,CN,14/09/2011,2011,09/03/2011,UNIV ZHEJIANG,YING YE;;HUAWEI QIN;;WEI YE;;JIAWANG CHEN,,,Patent Application,,E21B25/10;;E21B25/18,
CN102305729A,CN,04/01/2012,2012,22/07/2011,INST MINERAL RESOURCES CHINESE ACADEMY GEOL SCIENCES,XUANZHI WU,,,Patent Application,,G01N1/14,
CN105424809A,CN,23/03/2016,2016,27/10/2015,UNIV XIANGTAN,LONG SHIGUO;;TANG FENG;;LI GANXIAN,,,Patent Application,G01N29/07;;G01N29/11,G01N29/07;;G01N29/11,
CN108117031A,CN,05/06/2018,2018,02/12/2016,JIANGSU JINTAN CHANGDANG LAKE NEW ENERGY TECH CO LTD,WU JIANZHONG;;JIN WENJIE;;ZHU CHENQI;;REN SHIJIE,,,Patent Application,B67D7/22,B67D7/22,
CN104198133A,CN,10/12/2014,2014,30/07/2014,UNIV GUANGDONG TECHNOLOGY,WEI XIN;;WANG YONGCHAO;;XIE XIAOZHU;;HU WEI;;YE JUN;;XIAO CHAOBO,,,Patent Application,,G01M3/26,
