PatentNo,Jurisdiction,PublicationDate,PublicationYear,ApplicationDate,Applicants,Inventors,Owners_updated,Owners,DocumentType
CN110763294A,CN,07/02/2020,2020,29/10/2019,48TH RES INST CHINA ELECTRONICS TECHNOLOGY GROUP CORP,LI JIANBIN;;ZHANG LONGCI;;HE FENG,,,Patent Application
CN101900581A,CN,01/12/2010,2010,27/05/2010,SCHLUMBERGER TECHNOLOGY CORP,GARY ODDIE,,,Patent Application
CN104266702A,CN,07/01/2015,2015,11/09/2014,UNIV XI AN JIAOTONG,BAI BOFENG;;HE DENGHUI,,,Patent Application
CN102346058A,CN,08/02/2012,2012,29/07/2010,UNIV CHINA PETROLEUM,WEIWEI WANG;;PING WANG;;DONGSHUN REN;;SHANGCHUN FAN;;XIAOQIAN ZHU,,,Patent Application
CN104406053A,CN,11/03/2015,2015,04/12/2014,XU LIHUA;;LIANG JUN;;ZHANG LEI;;YU ZHIMING;;ZHANG SUOZHUANG,XU LIHUA;;LIANG JUN;;ZHANG LEI;;YU ZHIMING;;ZHANG SUOZHUANG;;LIN WENHUA;;LI GUOQIANG;;JIANG LIANHUA,,,Patent Application
CN104932584A,CN,23/09/2015,2015,05/06/2015,ZHUHAI GREE ELEC APPLIANCES,GAN GUOQING;;ZHANG WEIBIN,,,Patent Application
CN104405351A,CN,11/03/2015,2015,13/11/2014,KAN XUEPING,KAN XUEPING,,,Patent Application
CN113029382A,CN,25/06/2021,2021,26/02/2021,UNIV TONGJI,YIN HAILONG;;XU ZUXIN;;GUO LONGTIAN;;XIE MING,,,Patent Application
CN105115675A,CN,02/12/2015,2015,11/09/2015,CHINA PETROLEUM & CHEMICAL;;CHINA PETROLEUM & CHEMICAL,TAO BIN;;LANG XUQING;;CHENG QINGLI;;ZHANG YUPING;;JIA GUANG;;ZHEN YONGQIAN;;ZHANG WEIHUA,,,Patent Application
CN106197649A,CN,07/12/2016,2016,25/07/2016,BEIJING ZHONGCHENG SENSING INFORMATION TECH CO LTD,SONG XINJIAN;;WU YU;;PENG FEI,,,Patent Application
CN104125014A,CN,29/10/2014,2014,28/04/2013,SHANGHAI BOOM FIBER SENSING TE,ZHANG XULIANG;;LIN DONG;;ZHOU ZHENGXIAN,,,Patent Application
CN107727124A,CN,23/02/2018,2018,31/08/2017,UNIV ELECTRONIC SCI & TECH CHINA,ZHANG YANG;;ZHANG QIAN;;WU YU;;LIU ZONGHAO,,,Patent Application
CN109936636A,CN,25/06/2019,2019,14/03/2019,GUANGDONG JUYUAN PIPE CO LTD,TANG TIEHUI;;ZHONG FENG,,,Patent Application
CN105371943A,CN,02/03/2016,2016,29/12/2015,CHENGDU RUILAIJIESEN TECH CO LTD,ZHANG LIXUN;;CHEN YULIN,,,Patent Application
CN111998933A,CN,27/11/2020,2020,10/08/2020,UNIV WUHAN TECH,TANG JIANGUAN;;LYU WANHUA;;DENG YANFANG;;GUO HUIYONG;;FAN DIAN;;GAN WEIBING;;YANG MINGHONG,,,Patent Application
CN104535281A,CN,22/04/2015,2015,15/01/2015,UNIV CHINA PETROLEUM,LIU CUIWEI;;LI YUXING;;LI XUEJIE;;LIU GUANGXIAO;;QIAN HAOCHENG;;WANG WUCHANG,,,Patent Application
CN105675080A,CN,15/06/2016,2016,14/04/2016,CHANGAN YIYANG POWER GENERATION CO LTD,BING YULIANG;;YI HONGDONG;;JIANG ZHONG,,,Patent Application
CN109540207A,CN,29/03/2019,2019,27/11/2018,UNIV DALIAN TECH,ZHOU DAPENG;;PENG WEI,,,Patent Application
CN101894438A,CN,24/11/2010,2010,20/05/2009,SHANGHAI BOOM FIBER SENSING TE,YUFEI CHEN;;ZHENGXIAN ZHOU;;WEI GAO;;GANG XI;;FANGXUAN TONG,,,Patent Application
CN107850483A,CN,27/03/2018,2018,03/06/2016,FUTURE FIBRE TECH PTY LTD,RAJEEV PATHMANATHAN;;MAHMOUD SEEDAHMED S;;KOZIOL BERNHARD G;;DAVIS FREDERICK;;SANJAYAN JAY G;;JEGATHEESAN PIRATHEEPAN,,,Patent Application
CN111123272A,CN,08/05/2020,2020,31/10/2018,WUXI CHISON MEDICAL TECH CO LTD,WANG HONG;;MO RUOLI,,,Patent Application
CN103644460A,CN,19/03/2014,2014,09/10/2013,UNIV CHINA PETROLEUM,MENG LINGYA;;LIU CUIWEI;;LIU GUANGXIAO;;WANG WUCHANG;;LI YUXING;;FANG LIPING;;LIU CHAO;;QIAN HAOCHENG;;CAO PENGFEI,,,Patent Application
CN109344784A,CN,15/02/2019,2019,12/10/2018,YELLOW RIVER INSTITUTE OF HYDRAULIC RES,ZHANG NAN;;LI SHU;;GUO XINWEI;;JIANG HONG;;ZHANG PAN;;YIN HUIJUAN;;WU KAI;;LI LINGQI;;HAN JINXU;;SUN WEIYING,,,Patent Application
CN112036301A,CN,04/12/2020,2020,31/08/2020,UNIV CHINA MINING,YU XIAO;;LIU SHIYUAN;;REN XIAOHONG;;DONG FEI;;CHEN WEI,,,Patent Application
CN106845437A,CN,13/06/2017,2017,13/02/2017,UNIV CHANGZHOU,WANG XINYING;;SONG XINGSHUAI;;CHEN HAIQUN,,,Patent Application
CN105844051A,CN,10/08/2016,2016,12/04/2016,SHANGHAI ADVANCED RES INST CAS,WU BO;;MAO JIA;;MA NA;;LU FANGLIN;;HE FENGXING;;CUI WEN;;YU JIANFENG,,,Patent Application
CN112483910A,CN,12/03/2021,2021,04/12/2020,UNIV CHANGZHOU,LYU XIAOFANG;;XU JIAWEN;;ZHANG JIE;;LIU YANG;;ZHOU SHIDONG;;RAO YONGCHAO;;DONG LIANG;;LI ENTIAN,,,Patent Application
CN110792928A,CN,14/02/2020,2020,24/09/2019,CHINA PETROLEUM & CHEM CORP;;SINOPEC PIPELINE STORAGE & TRANSP CO LTD;;HUNAN TULING TECH CO LTD,ZHANG HUIMIN;;LI YAPING;;PENG YUNCHAO;;CAO DANFU;;SHU LILI;;CHEN PENG;;TANG YANGHAO;;LIU TING;;MENG FANXING;;ZHANG YU;;SUN TIANZE;;YUAN SHEMEI;;WANG AIJU;;CHEN YUHAN;;LIU PENG;;HUANG GANG;;ZHUANG JUN;;SHI YAOHUA;;ZHOU JINGLIN;;TIAN XINTAO,,,Patent Application
CN107504374A,CN,22/12/2017,2017,20/10/2017,BEIJING KECHUANG SANSI SCIENCE & TECH DEVELOPMENT CO LTD,WANG LIANGFENG;;YANG XIAOFENG;;JI JINGWEN;;XIN YAN;;JI XIAO,,,Patent Application
CN110145695A,CN,20/08/2019,2019,03/06/2019,UNIV DALIAN TECH;;CERNET CO LTD,LI QI;;DU XIAODONG;;LI MENG;;XIE MENGQI,,,Patent Application
CN106017837A,CN,12/10/2016,2016,30/06/2016,BEIJING INST SPACECRAFT SYSTEM ENGINEERING,WANG GUANGYUAN;;HAO GANGGANG;;TIAN JINGFENG;;ZHOU DONGQIANG;;GUAN SHUAI;;YANG DONG,,,Patent Application
CN107590516A,CN,16/01/2018,2018,16/09/2017,UNIV ELECTRONIC SCI & TECH CHINA,WU HUIJUAN;;CHENG LIN;;LIU XIANGRONG;;RAO YUNJIANG,,,Patent Application
CN102968109A,CN,13/03/2013,2013,03/12/2012,UNIV SOUTHWEST,PAN DONGBO;;LIU FENG,,,Patent Application
CN109643477A,CN,16/04/2019,2019,08/08/2017,INTENDIME SRLS,FARRIS ALESSANDRA;;AMBU GIORGIA;;PINESE ANTONIO;;BUFFETTI LEONARDO;;ARCIULO RICCARDO,,,Patent Application
CN105910803A,CN,31/08/2016,2016,15/04/2016,UNIV NORTH CHINA,PAN HONGXIA;;PAN MINGZHI;;MA CHUNMAO;;LI ZHONGXIAN;;TIAN YUAN;;BI JINGWEI,,,Patent Application
CN101968162A,CN,09/02/2011,2011,30/09/2010,UNIV NORTHEASTERN,HUAGUANG ZHANG;;JIAN FENG;;JINHAI LIU;;XIN HE;;JIANQIANG LIU;;DAZHONG MA;;ZHENWEI LIU;;XINGANG ZHANG,,,Patent Application
CN106352243A,CN,25/01/2017,2017,20/10/2016,UNIV SHANDONG SCIENCE & TECH,HAN BAOKUN;;YAN CHENGWEN;;BAO HUAIQIAN;;WANG CHANGTIAN;;YANG KAIDI,,,Patent Application
CN104132250A,CN,05/11/2014,2014,14/07/2014,UNIV SHANGHAI,ZHANG XIANGFEN;;LIU XIAOYUN;;XU XIAOZHONG;;MA YAN,,,Patent Application
CN104897215A,CN,09/09/2015,2015,03/07/2015,NANTONG SHENGHONG YITING NETWORK TECHNOLOGY CO LTD,LUO YU;;LIU JIANWEI;;SHI JIAN,,,Patent Application
CN108397692A,CN,14/08/2018,2018,29/01/2018,HEFEI INST PUBLIC SAFETY RES TSINGHUA UNIV;;ANHUI SMART SAFETY TECH CO LTD,LI YUNFEI;;ZHOU YANG;;ZHANG FEI;;CAO CUNZHI;;HUANG LI;;LIU MING,,,Patent Application
CN102242872A,CN,16/11/2011,2011,22/06/2011,UNIV NORTHEASTERN,JIAN FENG;;JINHAI LIU;;HUAGUANG ZHANG;;DAZHONG MA;;XIANGXIANG WEI;;JIAN LI,,,Patent Application
CN113740667A,CN,03/12/2021,2021,30/08/2021,UNIV NORTH CHINA ELECTRIC POWER,ZHANG XU;;ZHENG YUCHUAN;;GUO ZIXING;;LIU BOWEN;;DING RUITING;;WANG YI,,,Patent Application
CN106018561A,CN,12/10/2016,2016,13/05/2016,UNIV CHINA PETROLEUM,LI YUXING;;ZHANG YUGAN;;LIU CUIWEI;;HU QIHUI;;WANG WUCHANG;;ZHU JIANLU;;HAN HUI;;QIAN HAOCHENG;;JI JIAN;;LIANG JIE,,,Patent Application
CN105840987A,CN,10/08/2016,2016,25/04/2016,BEIJING HONGXIN HUANKE TECH DEV CO LTD,XU SHENGJIN;;GONG HAIQING;;HU ZHANWEI,,,Patent Application
CN109373203A,CN,22/02/2019,2019,22/11/2018,LEZHI HAITIAN WATER BUSINESS CO LTD,PENG YUMEI;;CHEN TINGTING;;WANG RUI;;LIANG GUANG;;TAN HAIRONG;;ZHONG MING;;WANG WENQIANG;;MOU JING;;CHEN DIANJUN,,,Patent Application
CN110046651A,CN,23/07/2019,2019,15/03/2019,UNIV XI AN JIAOTONG,JIANG HONGQUAN;;GAO JIANMIN;;XIA FENGSHE;;GAO ZHIYONG;;WANG RONGXI;;ZHOU TAO;;LIU DONGCHENG,,,Patent Application
CN102537670A,CN,04/07/2012,2012,05/03/2012,UNIV BEIJING CHEMICAL,WEIGUO LIN;;JINGKUN JIA,,,Patent Application
CN108443714A,CN,24/08/2018,2018,09/04/2018,LASER RES INST SHANDONG ACADEMY SCIENCES,HOU MOYU;;WANG JIQIANG;;ZHAO LIN;;LI ZHEN;;WANG JINYU;;LIU YUAN;;DONG GUOFENG;;LIU TONGYU,,,Patent Application
CN105546352A,CN,04/05/2016,2016,21/12/2015,UNIV CHONGQING SCI & TECH,LI JIE;;CHEN GUORONG;;WU HAN;;FENG LIXIAO;;LI ZHONG;;CHEN MENGLIANG;;GAO ZHENG,,,Patent Application
CN110319982A,CN,11/10/2019,2019,03/06/2019,HEFEI INST PUBLIC SAFETY RES TSINGHUA UNIV;;HEFEI CITY LIFELINE ENG SAFETY OPERATION MONITORING CENTER;;HEFEI ZEZHONG CITY INTELLIGENT TECH CO LTD,TAN QIONG;;YUAN HONGYONG;;LI ZIHAO;;FU MING;;LI SHULIN;;LIU HEZI;;SU GUOFENG;;WANG PENG;;HOU LONGFEI;;ZHU YOUPING,,,Patent Application
CN102120158A,CN,13/07/2011,2011,19/11/2010,SUZHOU BONA CHEMICAL TECHNOLOGY CO LTD,WEIGE LI;;CHUNFU ZHANG,,,Patent Application
CN102120106A,CN,13/07/2011,2011,19/11/2010,SUZHOU BONA CHEMICAL TECHNOLOGY CO LTD,WEIGE LI;;CHUNFU ZHANG,,,Patent Application
CN107130432A,CN,05/09/2017,2017,26/06/2017,WANG MENG,WANG MENG,,,Patent Application
CN102120107A,CN,13/07/2011,2011,19/11/2010,SUZHOU BONA CHEMICAL TECHNOLOGY CO LTD,WEIGE LI;;CHUNFU ZHANG,,,Patent Application
CN105251245A,CN,20/01/2016,2016,30/10/2015,YUNNAN PHOSPHATE CHEM GROUP,LI YAOJI;;HE BINBIN;;FANG SHIXIANG;;LU WEICAI;;ZHANG HUI;;OU ZHIBING;;YANG WENQUAN;;PENG HUA;;ZHOU QIONGBO;;WANG CANXIA;;ZHANG HUA,,,Patent Application
CN103550959A,CN,05/02/2014,2014,26/10/2013,UNIV GUILIN TECH GUT,GUO DONG;;XU XU;;HUANG CHAO,,,Patent Application
CN101881696A,CN,10/11/2010,2010,03/06/2010,UNIV XI AN JIAOTONG,HAIPENG GENG;;BAISONG YANG;;WENBO DUAN;;SHEMIAO QI;;LIE YU;;YANHUA SUN,,,Patent Application
CN105388013A,CN,09/03/2016,2016,04/12/2015,JINCHENG NANJING ELECTROMECHANICAL HYDRAULIC PRESSURE ENG RES CT AVIAT IND CORP CHINA,HAO DINGWU;;LIU YIN;;XIAO ZHIFENG;;XIANG YONG,,,Patent Application
CN103884504A,CN,25/06/2014,2014,10/03/2014,UNIV XI AN JIAOTONG,SUN YANHUA;;DUAN WENBO;;GENG HAIPENG;;QI SHEMIAO;;YU LIE,,,Patent Application
CN110657973A,CN,07/01/2020,2020,29/09/2019,CHINA HELICOPTER RES & DEVELOPMENT INST,SONG YUN;;SUN YUNWEI;;XU YULIANG,,,Patent Application
CN110608673A,CN,24/12/2019,2019,21/05/2019,UNIV XI AN JIAOTONG,ZHU YONGSHENG;;YUAN QIANQIAN;;YAN KE;;KANG WEI;;HONG JUN,,,Patent Application
CN108709747A,CN,26/10/2018,2018,15/06/2018,HARBIN INST TECHNOLOGY,ZHANG CHUANWEI;;GU LE;;XIE ZHIJIE;;WANG LIQIN;;SUN TAO;;LI DONGSHENG;;ZHAO JINGZE,,,Patent Application
CN104748966A,CN,01/07/2015,2015,21/04/2015,WU LIANKAI,WU LIANKAI,,,Patent Application
CN101975656A,CN,16/02/2011,2011,06/09/2010,UNIV XI AN JIAOTONG,SHEMIAO QI;;MIAOYU GU;;HUAN WANG;;HAIPENG GENG;;YANHUA SUN;;LIE YU,,,Patent Application
CN101865772A,CN,20/10/2010,2010,03/06/2010,UNIV XI AN JIAOTONG,WENBO DUAN;;HAIPENG GENG;;SHEMIAO QI;;YANHUA SUN;;BAISONG YANG;;LIE YU,,,Patent Application
CN103149339A,CN,12/06/2013,2013,29/01/2013,INST OF MECHANICS CAS,ZHAO YING;;LI SHIHAI;;LIU XIAOYU;;WEI ZUOAN;;XU LIKAI;;MENG DA;;FAN YONGBO;;LV XIANGFENG,,,Patent Application
CN113041652A,CN,29/06/2021,2021,17/03/2021,CHINA NAT OFFSHORE OIL CORP;;CNOOC RES INST CO LTD,MA CHENBO;;LIU XIANGDONG;;HUANG ZHE;;LIU RENWEI;;JING YUXIAO;;ZHOU XUEJUN,,,Patent Application
CN106352246A,CN,25/01/2017,2017,09/11/2016,UNIV NANJING TECH,JIANG JUNCHENG;;DIAO XU;;CHEN QIANG;;SHEN GUODONG;;NI LEI;;ZOU MENGYA;;FU GANG,,,Patent Application
CN105090756A,CN,25/11/2015,2015,17/09/2015,CHENGDU QIANYI INFORMATION TECHNOLOGY CO LTD,MO SHANGYI,,,Patent Application
CN103761997A,CN,30/04/2014,2014,15/01/2014,CHINA NUCLEAR POWER ENG CO LTD,TAN GUANGPING;;YU YONG;;XIN TIANMIN;;LIU WENHUA;;WANG LE,,,Patent Application
CN103366039A,CN,23/10/2013,2013,28/03/2013,IBM,SHIR OFER;;WASSERKRUG SEGEV;;SHILOACH YOSSI;;ISRAELI EITAN;;WEISMAN RAN,,,Patent Application
CN105181271A,CN,23/12/2015,2015,14/07/2015,PETROCHINA CO LTD,WU JIAYONG;;TAN DONGJIE;;WANG LIKUN;;XU BIN;;WANG HONGCHAO;;CAI YONGJUN;;LI HAINA;;WU QIONG,,,Patent Application
CN105114818A,CN,02/12/2015,2015,17/09/2015,CHENGDU QIANYI INFORMATION TECHNOLOGY CO LTD,MO SHANGYI,,,Patent Application
CN109915734A,CN,21/06/2019,2019,15/04/2019,KUANG MIN,KUANG MIN,,,Patent Application
CN104074511A,CN,01/10/2014,2014,16/12/2013,UNIV YANGTZE,ZHU ZHONGXI;;ZHANG YINGJIN,,,Patent Application
CN102184671A,CN,14/09/2011,2011,19/04/2011,INST ENG MECHANICS CHINA EARTHQUAKE ADMINISTRATION;;XUESHAN YANG;;FENG GAO,XUESHAN YANG;;QINGLEI SHI;;XIANLONG HE;;TAO ZHANG;;FENG GAO;;QIAOYU YANG,,,Patent Application
CN102072405A,CN,25/05/2011,2011,02/11/2010,CHINA PETROLEUM & CHEMICAL;;TECHNICAL DETECTION CT OF SINOPEC SHENGLI OILFIELD COMPANY,GUANJUN WANG;;JINGSHU LIU;;LU LIU;;DEDONG LV;;SUIPING WANG;;ZHENHUA SUN;;RENWEI SHI;;YUANYUAN LONG;;WEIGANG YANG;;JIE JI;;CHAO LIU;;YONG YANG;;YUJIANG WANG;;YANGUO LIU;;JIANGUO SU,,,Patent Application
CN109958880A,CN,02/07/2019,2019,26/03/2019,SICHUAN LINENG COMBUSTION GAS ENG DESIGN CO LTD,XIA TAIWU;;CHENG HUA;;LI JING;;DAI LIN;;CHEN MO;;HU SHUNYUAN;;ZHANG XUEMEI;;JIANG WEI;;NIE CHONGBIN;;WU JIN;;WU QIYUAN;;LI YANG;;DAI MEI;;CHEN JUN;;TANG LIUYI;;CHENG LINLIN,,,Patent Application
CN103424512A,CN,04/12/2013,2013,15/05/2013,HORIBA LTD,MIYAI MASARU;;ITO MANABU;;NISHIKAWA MASAHIRO,,,Patent Application
CN103247358A,CN,14/08/2013,2013,16/04/2013,CHINA NUCLEAR POWER ENG CO LTD,ZHANG LEI;;YAN GUIYIN;;XIAO DAIYUN;;ZHANG RUIPING;;SHAO TUO,,,Patent Application
CN103148346A,CN,12/06/2013,2013,26/03/2013,UNIV BEIJING JIAOTONG,LAN HUIQING;;ZHANG YONGLONG,,,Patent Application
CN109798451A,CN,24/05/2019,2019,16/11/2017,PETROCHINA CO LTD,REN GUISHAN;;XU GUO'AN;;SUN KAI;;CHEN XUEMEI,,,Patent Application
CN105090757A,CN,25/11/2015,2015,17/09/2015,CHENGDU QIANYI INFORMATION TECHNOLOGY CO LTD,MO SHANGYI,,,Patent Application
CN102252168A,CN,23/11/2011,2011,19/07/2011,HUADIAN ENERGY CO LTD,CHUNGUANG BAI,,,Patent Application
CN107084767A,CN,22/08/2017,2017,21/05/2017,WEI JIANJUN,WEI JIANJUN;;LIU NAI'AN;;SU ZHIXIANG,,,Patent Application
CN102797453A,CN,28/11/2012,2012,14/08/2012,BEIJING KELI AOBO INSTR TECHNOLOGY CO LTD,THE INVENTOR HAS WAIVED THE RIGHT TO BE MENTIONED,,,Patent Application
CN104912545A,CN,16/09/2015,2015,08/06/2015,HEBEI KUNRUI ENGINEERING TECHNOLOGY CO LTD,WU QIULAI;;ZHAI HONGJUN;;ZHANG YOUYI;;ZHAI YULONG,,,Patent Application
CN108194074A,CN,22/06/2018,2018,17/02/2012,MERLIN TECHNOLOGY INC,CHAU ALBERT W;;FELDMAN DMITRY;;MEDEIROS BENJAMIN JOHN,,,Patent Application
CN104500025A,CN,08/04/2015,2015,22/12/2014,PETROCHINA CO LTD,YANG LINGZHI;;YANG HAIEN;;JU YAFENG;;LUO BILIN;;SHEN XIAOLI;;YU JIUZHENG;;WANG ZIJIAN;;BI FUWEI;;HU MEIYAN,,,Patent Application
CN105089640A,CN,25/11/2015,2015,30/04/2015,PETROCHINA CO LTD,SHE CHAOYI;;PENG YANG;;TANG HUQIONG;;HE YIGUO;;YE CHANGQING;;CHEN JIAXIAO;;CHEN JI;;WEI XING;;WANG XUEQIANG,,,Patent Application
CN105954063A,CN,21/09/2016,2016,02/06/2016,GUANGZHOU MARINE GEOLOGICAL SURVEY;;OIL & GAS SURVEY CGS;;CHENGDU OUXUN TECH CO LTD;;YIBIN SANJIANG MACHINERY CO LTD,LIU GUANGHU;;CHEN DAOHUA;;ZHU YOUHAI;;XU ZHUHUA;;WU XUANZHI;;BAI MINGGANG;;CHENG SIHAI;;ZHAO HONGYU;;LU CHENG;;LEI ZHISHENG;;LIU JIYONG;;ZHAO HONGYING,,,Patent Application
CN102109422A,CN,29/06/2011,2011,17/12/2010,NORTHEAST INST GEO & AGROECOLO,SHUYUAN LIU,,,Patent Application
CN103048175A,CN,17/04/2013,2013,20/12/2012,GUANGZHOU MARINE GEOL SURVEY,CHENG SIHAI;;ZHANG ZHIGANG;;CHEN DAOHUA;;LIU JIAN,,,Patent Application
CN105152272A,CN,16/12/2015,2015,09/09/2015,GUANGZHOU MARINE GEOL SURVEY,CHEN DAOHUA;;LIU GUANGHU;;CHENG SIHAI;;ZHAO HONGYU;;WU XUANZHI;;LEI ZHISHENG;;LIU JIYONG,,,Patent Application
CN103321641A,CN,25/09/2013,2013,01/07/2013,BEIJING START TRADE CO LTD,LI GUANGWU,,,Patent Application
CN105372332A,CN,02/03/2016,2016,27/10/2015,UNIV XIANGTAN,LONG SHIGUO;;TANG FENG;;LI GANXIAN,,,Patent Application
CN105547748A,CN,04/05/2016,2016,16/12/2015,GUANGZHOU MARINE GEOLOGICAL SURVEY;;YIBIN SANJIANG MACHINERY CO LTD,CHENG SIHAI;;ZHAO HONGYU;;ZHAO ZHENGXING;;ZHAO HONGYING;;LEI ZHISHENG;;LIU JIYONG,,,Patent Application
CN105588730A,CN,18/05/2016,2016,16/12/2015,GUANGZHOU MARINE GEOLOGICAL SURVEY;;YIBIN SANJIANG MACHINERY CO LTD,CHENG SIHAI;;LEI ZHISHENG;;LIU JIYONG;;ZHAO HONGYU;;ZHAO ZHENGXING;;ZHAO HONGYING,,,Patent Application
CN103091147A,CN,08/05/2013,2013,28/10/2011,INST OCEANOLOGY CHINESE ACAD,DONG YI;;XIAO TIAN;;WU JUN;;YUE DONGHAI,,,Patent Application
CN102182414A,CN,14/09/2011,2011,09/03/2011,UNIV ZHEJIANG,YING YE;;HUAWEI QIN;;WEI YE;;JIAWANG CHEN,,,Patent Application
CN102305729A,CN,04/01/2012,2012,22/07/2011,INST MINERAL RESOURCES CHINESE ACADEMY GEOL SCIENCES,XUANZHI WU,,,Patent Application
CN105424809A,CN,23/03/2016,2016,27/10/2015,UNIV XIANGTAN,LONG SHIGUO;;TANG FENG;;LI GANXIAN,,,Patent Application
CN108117031A,CN,05/06/2018,2018,02/12/2016,JIANGSU JINTAN CHANGDANG LAKE NEW ENERGY TECH CO LTD,WU JIANZHONG;;JIN WENJIE;;ZHU CHENQI;;REN SHIJIE,,,Patent Application
CN106933178A,CN,07/07/2017,2017,29/12/2015,HARBIN HENGYU MINGXIANG TECHNOLOGY CO LTD,WANG YING;;WU JIANAN,,,Patent Application
CN108956025A,CN,07/12/2018,2018,31/08/2018,SOLINER NANJING INTELLIGENT TECH CO LTD,NIU YONGCHUN;;ZHOU GUOZHEN,,,Patent Application
CN103343721A,CN,09/10/2013,2013,16/07/2013,UNIV NORTHEAST PETROLEUM,GUAN XUEZHONG;;LI XIN;;JIANG YINLING;;ZHANG HUIZHEN;;YANG LI;;DONG HONGLI,,,Patent Application
CN103365230A,CN,23/10/2013,2013,15/07/2013,BEIJING ADVANCE PETROMACHINERY CO LTD,WANG SHULIN,,,Patent Application
CN106276767A,CN,04/01/2017,2017,28/10/2016,BEIJING CHANGGI SERVICE STATION EQUIPMENT CO LTD,ZHAO YONGQIANG;;LIU MIN,,,Patent Application
CN110775929A,CN,11/02/2020,2020,08/11/2019,FAN JUNLI,FAN JUNLI,,,Patent Application
CN105857313A,CN,17/08/2016,2016,23/05/2016,CHANG'AN UNIV,LIU JINGYU;;ZHANG KEKE;;YANG WEIPING,,,Patent Application
CN104085804A,CN,08/10/2014,2014,17/07/2014,XUZHOU HEAVY MACHINERY CO LTD,ZHU CHANGJIAN;;ZHAO HUAN;;YU ZONGJIA;;SUN QINGQING;;XING SHUHUA,,,Patent Application
CN101988860A,CN,23/03/2011,2011,07/08/2009,SHANGHAI SHENJI RAIL TRANSP DEV CO LTD,GANG WU;;LIMING WU,,,Patent Application
CN112879148A,CN,01/06/2021,2021,25/01/2021,UNIV HUAZHONG SCIENCE TECH,YANG CAN;;CHENG XIAOBEI;;ZI ZHEN,,,Patent Application
CN102564767A,CN,11/07/2012,2012,06/03/2012,GEELY AUTOMOBILE RES INST ZJ;;ZHEJIANG GEELY HOLODING GROUP,YING YANG;;ANZHI YANG;;JIGANG JIN;;FUQUAN ZHAO,,,Patent Application
CN102095587A,CN,15/06/2011,2011,17/12/2010,HANGZHOU YINLUN TECHNOLOGY CO LTD;;ZHEJIANG YINLUN MACHINERY CO,ZHEN CHEN;;GUODONG LU;;YANGUANG ZHAO;;SHIJIN SHUAI,,,Patent Application
CN103452617A,CN,18/12/2013,2013,05/09/2013,CHINA NORTH ENGINE RES INST TIANJIN,JIANG LI;;LU CHAOYANG;;WANG ZIYU;;ZHAO YAN;;ZHANG BO;;WANG JIXIN,,,Patent Application
CN103454091A,CN,18/12/2013,2013,12/09/2013,711TH RES INST CSIC,ZHENG LIANG;;WANG XINQUAN;;REN ZIZHONG;;PING TAO;;HUANG LI,,,Patent Application
CN112302755A,CN,02/02/2021,2021,02/08/2019,GUANGZHOU AUTOMOBILE GROUP CO,GUO XUNPENG;;ZHAI SHAOCHUN;;YU SHIBO;;LI GUANSHENG;;WANG YIMING,,,Patent Application
CN104316325A,CN,28/01/2015,2015,15/08/2014,ANHUI JIANGHUAI AUTOMOBILE CO,ZOU CHUN;;LI ZIQIANG;;CHEN WEI;;WANG SHANQIANG;;ZHAO LONG;;WU YONGSHENG;;DING LEI,,,Patent Application
CN103884508A,CN,25/06/2014,2014,27/01/2014,CHINA NORTH ENGINE RES INST TIANJIN,JIANG LI;;JIN FANPING;;SUN LIWEI;;JIN YUMEI;;DONG CHUN;;WANG LEI;;XU QIANGBO,,,Patent Application
CN106678033A,CN,17/05/2017,2017,10/03/2017,CHONGQING JIANSHE AUTOMOBILE AIR CONDITIONING CO LTD,HU LIZHI;;LI YUPENG,,,Patent Application
CN103265978A,CN,28/08/2013,2013,31/05/2013,SHAANXI COAL & CHEM TECH INST,CHEN JINGSHENG;;ZHANG ZHIGANG;;FAN YINGJIE;;RAN WEILI;;MIAO QING;;SHANG JIANXUAN;;MIN XIAOJIAN;;ZHENG HUAAN;;ZHANG SHENGJUN;;MA YONG;;JIA PEIJUN,,,Patent Application
CN109667571A,CN,23/04/2019,2019,31/10/2018,HENAN ZHONGTUO PETROLEUM ENGINEERING TECH CO LTD,WANG JIANWEN;;LI XIAOHUI;;JIN WEI,,,Patent Application
CN104454446A,CN,25/03/2015,2015,14/11/2014,LIUZHOU ANLONG MACHINERY EQUIPMENT CO LTD,TANG ZHENRONG,,,Patent Application
CN110873665A,CN,10/03/2020,2020,29/08/2018,PETROCHINA CO LTD,PENG HUAN;;XIONG JIANJIA;;PENG JUNLIANG;;GAO XINPING;;QIN YI;;HAN HUIFEN;;YUAN SHUHANG;;ZHOU YUCHAO;;YAN JIE,,,Patent Application
CN106501488A,CN,15/03/2017,2017,29/11/2016,CHINA UNIV OF PETROLEUM - BEIJING,HOU BING;;GUO XIAOFENG;;TAN PENG;;ZHANG RUXIN;;CHEN MIAN;;JIN YAN;;LIN BOTAO;;LU YUNHU;;ZHOU ZHOU,,,Patent Application
CN105257278A,CN,20/01/2016,2016,06/11/2015,UNIV SOUTHWEST PETROLEUM,LU CONG;;GUO JIANCHUN;;LUO YANG;;BAI XIANG;;GOU XINGHAO;;LIU YUXUAN;;LUO BO,,,Patent Application
